7123:
 num     #instances         #bytes  class name (module)
  88:          7183         172392  com.mojang.serialization.Dynamic
  89:          4121         164840  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.12.1)
  90:          5083         162656  java.lang.invoke.LambdaForm$Name (java.base@21.0.12.1)
  91:          2074         157624  [Ljava.lang.ref.SoftReference; (java.base@21.0.12.1)
  92:          9765         156240  com.mojang.datafixers.types.templates.RecursivePoint
  93:          2055         147960  java.lang.reflect.Constructor (java.base@21.0.12.1)
  94:          9197         147152  it.unimi.dsi.fastutil.objects.ReferenceSets$UnmodifiableSet
  95:          1171         139384  [Lnet.minecraft.world.level.block.state.StateHolder;
  96:          1921         138312  java.lang.reflect.Field (java.base@21.0.12.1)
  97:          4303         137696  com.mojang.datafixers.types.templates.CompoundList$CompoundListType
  98:          5496         131904  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry
  99:          1166         130592  net.minecraft.world.level.block.state.BlockBehaviour$Properties
 100:          2325         130200  net.minecraft.world.level.storage.loot.entries.LootItem
 101:          5379         129096  com.mojang.datafixers.types.templates.List$ListType
 102:          5247         125928  net.minecraft.core.HolderSet$Direct
 103:          2228         124768  net.minecraft.world.entity.ai.attributes.AttributeInstance
 104:          5153         123672  com.mojang.serialization.codecs.RecordCodecBuilder
 105:          2104         117824  org.bukkit.Material
 106:          2925         117000  java.util.TreeMap$Entry (java.base@21.0.12.1)
 107:          7312         116992  net.minecraft.world.item.crafting.display.SlotDisplay$ItemSlotDisplay
 108:          4144         116792  [Lnet.minecraft.util.parsing.packrat.Term;
 109:          2828         113120  java.lang.ref.SoftReference (java.base@21.0.12.1)
 110:          4696         112704  java.util.Collections$UnmodifiableRandomAccessList (java.base@21.0.12.1)
 111:          2790         111600  com.mojang.datafixers.types.templates.RecursivePoint$RecursivePointType
 112:          6956         111296  ca.spottedleaf.dataconverter.types.nbt.NBTMapType
 113:          2727         109080  java.util.EnumMap (java.base@21.0.12.1)
 114:          1493          95552  it.unimi.dsi.fastutil.ints.Int2ObjectOpenHashMap
 115:          1493          95552  it.unimi.dsi.fastutil.objects.Reference2ObjectOpenHashMap
 116:          2902          92864  java.util.ImmutableCollections$Map1 (java.base@21.0.12.1)
 117:          2881          92192  com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueEntry$LinkedStrongKeyWeakValueEntry
 118:          3829          91896  com.mojang.serialization.Codec$$Lambda/0x00007fd2041baee8
 119:          3829          91896  com.mojang.serialization.codecs.FieldDecoder
 120:          3829          91896  com.mojang.serialization.codecs.FieldEncoder
 121:          2809          89888  net.minecraft.network.chat.MutableComponent
 122:          3582          85968  net.minecraft.util.parsing.packrat.DelayedException$$Lambda/0x00007fd2045d5f38
 123:          3489          83736  com.mojang.datafixers.types.templates.Named
 124:          2090          83600  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.12.1)
 125:          3437          82488  net.minecraft.advancements.Criterion
 126:          2017          80680  net.minecraft.world.item.ItemStack
 127:          1990          79600  ca.spottedleaf.moonrise.patches.blockstate_propertyaccess.util.ZeroCollidingReferenceStateTable$Indexer
 128:          2421          77472  net.minecraft.network.chat.contents.TranslatableContents
 129:          4838          77408  net.minecraft.world.item.crafting.display.SlotDisplay$Composite
 130:          1070          77040  com.mojang.brigadier.tree.LiteralCommandNode
 131:          2094          76800  [Ljava.lang.String; (java.base@21.0.12.1)
 132:          2389          76448  java.util.concurrent.atomic.LongAdder (java.base@21.0.12.1)
 133:          1060          76320  com.mojang.brigadier.tree.ArgumentCommandNode
 134:          4650          74400  net.minecraft.world.level.storage.loot.providers.number.ConstantValue
 135:          2291          73312  me.lucko.spark.paper.common.sampler.node.StackTraceNode$AsyncDescription
 136:          1462          70176  com.google.common.collect.LinkedHashMultimap$ValueEntry
 137:          1200          67304  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.12.1)
 138:          2790          66960  com.mojang.datafixers.types.families.RecursiveTypeFamily$$Lambda/0x00007fd2046b7d00
 139:          4103          65648  com.mojang.datafixers.types.templates.List
 140:          2648          63552  com.mojang.serialization.MapDecoder$4
 141:          2632          63168  net.minecraft.util.parsing.packrat.Dictionary$Reference
 142:          1574          62960  net.minecraft.advancements.Advancement
 143:          2592          62208  org.bukkit.craftbukkit.block.impl.CraftRedStoneWire
 144:          1520          60792  [Lnet.minecraft.world.level.biome.Climate$RTree$Node;
