idx,arm,t_burst_s,cpu_burst_s,done_s,arm_validation
1,A,30.02,2.51,26.619,ok@0
2,B,30.11,2.50,26.910,ok@28
3,B,30.20,3.11,26.234,ok@28
4,A,30.05,2.72,25.755,ok@0
5,A,30.04,2.78,27.731,ok@0
6,B,30.02,2.53,25.228,ok@28
7,B,30.15,2.59,25.909,ok@28
8,A,30.06,2.70,26.497,ok@0
9,A,30.02,2.80,24.388,ok@0
10,B,30.16,2.74,26.496,ok@28
