23921:
 num     #instances         #bytes  class name (module)
  90:          5082         162624  java.lang.invoke.LambdaForm$Name (java.base@21.0.2)
  91:          2074         157624  [Ljava.lang.ref.SoftReference; (java.base@21.0.2)
  92:          9765         156240  com.mojang.datafixers.types.templates.RecursivePoint
  93:          2064         148608  java.lang.reflect.Constructor (java.base@21.0.2)
  94:          9197         147152  it.unimi.dsi.fastutil.objects.ReferenceSets$UnmodifiableSet
  95:          1171         139384  [Lnet.minecraft.world.level.block.state.StateHolder;
  96:          1921         138312  java.lang.reflect.Field (java.base@21.0.2)
  97:          4303         137696  com.mojang.datafixers.types.templates.CompoundList$CompoundListType
  98:          1166         130592  net.minecraft.world.level.block.state.BlockBehaviour$Properties
  99:          2325         130200  net.minecraft.world.level.storage.loot.entries.LootItem
 100:          5379         129096  com.mojang.datafixers.types.templates.List$ListType
 101:          5374         128976  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry
 102:          5247         125928  net.minecraft.core.HolderSet$Direct
 103:          2228         124768  net.minecraft.world.entity.ai.attributes.AttributeInstance
 104:          5153         123672  com.mojang.serialization.codecs.RecordCodecBuilder
 105:          2104         117824  org.bukkit.Material
 106:          7312         116992  net.minecraft.world.item.crafting.display.SlotDisplay$ItemSlotDisplay
 107:          2921         116840  java.util.TreeMap$Entry (java.base@21.0.2)
 108:          4144         116792  [Lnet.minecraft.util.parsing.packrat.Term;
 109:          2829         113160  java.lang.ref.SoftReference (java.base@21.0.2)
 110:          4699         112776  java.util.Collections$UnmodifiableRandomAccessList (java.base@21.0.2)
 111:          2790         111600  com.mojang.datafixers.types.templates.RecursivePoint$RecursivePointType
 112:          6956         111296  ca.spottedleaf.dataconverter.types.nbt.NBTMapType
 113:          2728         109120  java.util.EnumMap (java.base@21.0.2)
 114:          1493          95552  it.unimi.dsi.fastutil.ints.Int2ObjectOpenHashMap
 115:          1493          95552  it.unimi.dsi.fastutil.objects.Reference2ObjectOpenHashMap
 116:          2902          92864  java.util.ImmutableCollections$Map1 (java.base@21.0.2)
 117:          2881          92192  com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueEntry$LinkedStrongKeyWeakValueEntry
 118:          3829          91896  com.mojang.serialization.Codec$$Lambda/0x00007f5d5c1bf298
 119:          3829          91896  com.mojang.serialization.codecs.FieldDecoder
 120:          3829          91896  com.mojang.serialization.codecs.FieldEncoder
 121:          2809          89888  net.minecraft.network.chat.MutableComponent
 122:          3582          85968  net.minecraft.util.parsing.packrat.DelayedException$$Lambda/0x00007f5d5c5caf18
 123:          3489          83736  com.mojang.datafixers.types.templates.Named
 124:          2090          83600  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.2)
 125:          3437          82488  net.minecraft.advancements.Criterion
 126:          2017          80680  net.minecraft.world.item.ItemStack
 127:          1990          79600  ca.spottedleaf.moonrise.patches.blockstate_propertyaccess.util.ZeroCollidingReferenceStateTable$Indexer
 128:          2421          77472  net.minecraft.network.chat.contents.TranslatableContents
 129:          4838          77408  net.minecraft.world.item.crafting.display.SlotDisplay$Composite
 130:          1070          77040  com.mojang.brigadier.tree.LiteralCommandNode
 131:          2093          76792  [Ljava.lang.String; (java.base@21.0.2)
 132:          1060          76320  com.mojang.brigadier.tree.ArgumentCommandNode
 133:          4650          74400  net.minecraft.world.level.storage.loot.providers.number.ConstantValue
 134:          2291          73312  java.util.concurrent.atomic.LongAdder (java.base@21.0.2)
 135:          1462          70176  com.google.common.collect.LinkedHashMultimap$ValueEntry
 136:          2106          67392  me.lucko.spark.paper.common.sampler.node.StackTraceNode$AsyncDescription
 137:          1197          67192  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.2)
 138:          2790          66960  com.mojang.datafixers.types.families.RecursiveTypeFamily$$Lambda/0x00007f5d5c6ad288
 139:          4103          65648  com.mojang.datafixers.types.templates.List
 140:          2648          63552  com.mojang.serialization.MapDecoder$4
 141:          2632          63168  net.minecraft.util.parsing.packrat.Dictionary$Reference
 142:          1574          62960  net.minecraft.advancements.Advancement
 143:          2592          62208  org.bukkit.craftbukkit.block.impl.CraftRedStoneWire
 144:          1520          60792  [Lnet.minecraft.world.level.biome.Climate$RTree$Node;
 145:          2503          60072  com.mojang.serialization.MapEncoder$1
 146:          2477          59448  org.bukkit.configuration.SectionPathData
 147:          2449          58776  net.minecraft.world.item.crafting.Ingredient
 148:          2417          58008  net.minecraft.world.level.storage.loot.entries.LootPoolSingletonContainer$1
 149:          1448          57920  net.minecraft.world.level.storage.loot.LootPool
 150:          2393          57432  com.mojang.serialization.Decoder$5
 151:          2385          57240  net.minecraft.util.parsing.packrat.commands.StringReaderTerms$1
 152:          1192          57216  java.lang.invoke.LambdaForm (java.base@21.0.2)
 153:          2347          56328  net.minecraft.advancements.critereon.DataComponentMatchers
 154:          3499          55984  java.lang.Integer (java.base@21.0.2)
 155:          2300          55200  org.bukkit.craftbukkit.block.impl.CraftNoteBlock
 156:           857          54848  java.lang.Class$ReflectionData (java.base@21.0.2)
 157:          3426          54816  net.minecraft.util.parsing.packrat.commands.StringReaderTerms$TerminalCharacters$$Lambda/0x00007f5d5c5cb528
 158:          2228          53472  net.minecraft.world.entity.ai.attributes.AttributeSupplier$Builder$$Lambda/0x00007f5d5cc4fc28
 159:          1324          52960  net.minecraft.world.level.storage.loot.LootTable
 160:          2176          52224  org.bukkit.craftbukkit.block.impl.CraftDoor
 161:          2176          52224  org.bukkit.craftbukkit.block.impl.CraftTrapDoor
 162:          3217          51472  net.minecraft.util.parsing.packrat.Term$Sequence
 163:          1062          50976  java.lang.invoke.DirectMethodHandle$Accessor (java.base@21.0.2)
 164:           626          50816  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.2)
 165:          2108          50592  com.mojang.serialization.MapCodec$4
 166:          2106          50544  me.lucko.spark.paper.common.sampler.node.StackTraceNode
 167:           884          49504  java.lang.invoke.DirectMethodHandle$StaticAccessor (java.base@21.0.2)
 168:            13          49360  [Ljava.nio.ByteBuffer; (java.base@21.0.2)
 169:             3          49200  [Lnet.minecraft.world.level.pathfinder.PathType;
 170:          2017          48408  net.minecraft.core.component.PatchedDataComponentMap
 171:          1992          47808  com.mojang.serialization.codecs.PairMapCodec
 172:          1990          47760  com.mojang.serialization.MapCodec$6
 173:          1990          47760  net.minecraft.world.level.block.state.StateDefinition$$Lambda/0x00007f5d5c3fc590
 174:          1473          47136  net.minecraft.advancements.AdvancementRewards
 175:          1937          46488  net.minecraft.advancements.critereon.ItemPredicate
 176:          1451          46432  sun.security.util.ObjectIdentifier (java.base@21.0.2)
 177:          1450          46400  net.minecraft.world.item.crafting.display.RecipeDisplayEntry
 178:          1803          43272  net.minecraft.util.parsing.packrat.Dictionary$Entry
 179:           198          43152  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.2)
 180:          2691          43056  com.mojang.serialization.codecs.RecordCodecBuilder$$Lambda/0x00007f5d5c1bf9f0
 181:          1771          42504  net.minecraft.sounds.SoundEvent
 182:          1771          42504  org.bukkit.craftbukkit.CraftSound
 183:          1290          41280  java.lang.invoke.MethodTypeForm (java.base@21.0.2)
 184:          2503          40048  com.mojang.serialization.MapCodec$$Lambda/0x00007f5d5c1e76b8
 185:          1612          38688  net.minecraft.util.parsing.packrat.Term$Marker
 186:          1611          38664  net.minecraft.advancements.critereon.InventoryChangeTrigger$TriggerInstance
 187:          2385          38160  it.unimi.dsi.fastutil.chars.CharLists$Singleton
 188:          1574          37776  net.minecraft.advancements.AdvancementHolder
 189:          1574          37776  net.minecraft.advancements.AdvancementNode
 190:          2352          37632  com.google.common.collect.RegularImmutableList
 191:          1156          36992  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.2)
 192:          1536          36864  org.bukkit.craftbukkit.block.impl.CraftCeilingHangingSign
 193:          1536          36864  org.bukkit.craftbukkit.block.impl.CraftShelf
 194:          1520          36480  net.minecraft.world.level.biome.Climate$RTree$SubTree
 195:           907          36280  net.minecraft.world.item.BlockItem
 196:          1510          36240  com.mojang.serialization.Codec$2
 197:          1488          35712  org.bukkit.craftbukkit.inventory.CraftItemType
 198:           879          35160  sun.security.util.DerInputStream (java.base@21.0.2)
 199:          1461          35064  net.minecraft.world.item.crafting.RecipeHolder
 200:          1450          34800  net.minecraft.world.item.crafting.PlacementInfo
 201:          1450          34800  net.minecraft.world.item.crafting.RecipeManager$ServerDisplayInfo
 202:          1449          34776  net.minecraft.advancements.critereon.RecipeUnlockedTrigger$TriggerInstance
 203:          1063          34016  java.util.Locale (java.base@21.0.2)
 204:          1063          34016  sun.util.locale.BaseLocale (java.base@21.0.2)
 205:          2104          33664  org.bukkit.Material$$Lambda/0x00007f5d5c98d190
 206:          2104          33664  org.bukkit.Material$$Lambda/0x00007f5d5c98d3c8
 207:          1044          33408  sun.util.locale.BaseLocale$Key (java.base@21.0.2)
