== BUDGET oracle FAKE (contract-emulating fake, budgeted scratch) ==
mode	FAKE native (counting stub) + BUDGETED scratch (TASK-64 variant C)
stream	d	call	naiveOps	capOps	expA/expR	actA/actR	capCheck	result
S2-RESIZE	63	24	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	25	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	26	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	27	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	28	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	29	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	30	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	31	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	32	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	33	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	34	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	35	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	36	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	37	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	38	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	39	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	40	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	41	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	42	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	43	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	44	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	45	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	46	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	47	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	48	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	49	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	50	512	1024	0/512	0/512	budgetOK	PASS
