[02:10:49] TASK-117 SOAK chunk 20260909_021049 begin: OpenJDK Runtime Environment GraalVM CE 21.0.2+13.1 (build 21.0.2+13-jvmci-23.1-b30) WAVES=12 LOAD_SECONDS=420
[02:36:41] wave 3 done: wall=18.8s cpu=11.8s rss=1324.7MB
[02:36:53] wave 4 done: wall=11.7s cpu=8.8s rss=1327.5MB
[02:37:04] wave 5 done: wall=11.2s cpu=7.0s rss=1335.7MB
[02:37:14] wave 6 done: wall=9.8s cpu=9.4s rss=1488.8MB
[02:37:33] wave 7 done: wall=19.7s cpu=12.3s rss=1488.4MB
[02:37:57] wave 8 done: wall=23.4s cpu=15.6s rss=1493.8MB
[02:38:12] wave 9 done: wall=14.7s cpu=8.3s rss=1570.6MB
[02:38:21] wave 10 done: wall=9.7s cpu=7.3s rss=1631.5MB
[02:38:38] wave 11 done: wall=16.6s cpu=7.7s rss=1631.9MB
[02:38:46] wave 12 done: wall=7.6s cpu=4.8s rss=1632.2MB
[02:38:53] wave 13 done: wall=7.6s cpu=5.8s rss=1670.7MB
[02:39:01] wave 14 done: wall=8.2s cpu=6.3s rss=1807.7MB
[02:39:11] wave 15 done: wall=10.1s cpu=5.9s rss=1807.2MB
[02:39:19] wave 16 done: wall=7.7s cpu=5.7s rss=1807.6MB
[02:39:28] wave 17 done: wall=8.6s cpu=6.4s rss=1850.9MB
[02:39:36] wave 18 done: wall=8.1s cpu=5.3s rss=1851.2MB
[02:39:44] wave 19 done: wall=7.7s cpu=6.0s rss=1851.2MB
[02:39:52] wave 20 done: wall=8.6s cpu=6.6s rss=1850.9MB
[02:40:01] wave 21 done: wall=9.1s cpu=6.3s rss=1851.2MB
[02:40:09] wave 22 done: wall=8.2s cpu=6.1s rss=1948.7MB
[02:40:18] wave 23 done: wall=8.7s cpu=6.6s rss=1953.4MB
[02:40:29] wave 24 done: wall=10.6s cpu=6.4s rss=1956.2MB
[02:40:37] wave 25 done: wall=8.7s cpu=6.8s rss=2185.2MB
[02:40:46] wave 26 done: wall=8.6s cpu=6.0s rss=2185.2MB
[02:40:54] wave 27 done: wall=8.2s cpu=6.7s rss=2183.8MB
[02:41:03] wave 28 done: wall=8.6s cpu=5.4s rss=2185.0MB
[02:41:11] wave 29 done: wall=8.1s cpu=6.3s rss=2278.8MB
[02:41:20] wave 30 done: wall=8.6s cpu=5.6s rss=2279.3MB
[02:41:29] wave 31 done: wall=9.2s cpu=7.2s rss=2299.4MB
[02:41:36] wave 32 done: wall=7.6s cpu=4.6s rss=2299.4MB
[02:41:45] wave 33 done: wall=8.7s cpu=6.2s rss=2363.7MB
[02:41:52] wave 34 done: wall=7.1s cpu=4.4s rss=2361.3MB
[02:42:01] wave 35 done: wall=9.2s cpu=7.4s rss=2444.8MB
[02:42:13] wave 36 done: wall=11.6s cpu=5.4s rss=2481.6MB
[02:42:21] wave 37 done: wall=7.6s cpu=6.0s rss=2485.0MB
[02:42:31] wave 38 done: wall=10.7s cpu=7.6s rss=2550.7MB
[02:42:42] wave 39 done: wall=11.1s cpu=6.1s rss=2539.4MB
[02:42:55] wave 40 done: wall=12.7s cpu=9.0s rss=2524.6MB
[02:43:08] TASK-117 SOAK chunk 20260909_023506 complete (hs_err delta=0)
[02:45:14] TASK-117 SOAK chunk 20260909_024514 begin: OpenJDK Runtime Environment GraalVM CE 21.0.2+13.1 (build 21.0.2+13-jvmci-23.1-b30) WAVES=40 LOAD_SECONDS=480
[02:45:31] boot Done 15.677s
[02:46:09] wave 1 done: wall=26.7s cpu=31.0s rss=1300.0MB
[02:46:21] wave 2 done: wall=11.8s cpu=10.2s rss=1308.9MB
[02:46:39] wave 3 done: wall=18.2s cpu=12.0s rss=1317.9MB
[02:46:50] wave 4 done: wall=10.7s cpu=8.1s rss=1320.5MB
[02:47:00] wave 5 done: wall=10.7s cpu=6.8s rss=1326.9MB
[02:47:12] wave 6 done: wall=11.3s cpu=9.3s rss=1431.7MB
[02:47:35] wave 7 done: wall=23.3s cpu=13.2s rss=1430.2MB
[02:47:54] wave 8 done: wall=18.9s cpu=13.9s rss=1592.2MB
[02:48:02] wave 9 done: wall=8.7s cpu=7.0s rss=1590.7MB
[02:48:10] wave 10 done: wall=7.7s cpu=5.8s rss=1591.9MB
[02:48:18] wave 11 done: wall=8.1s cpu=6.0s rss=1622.5MB
[02:48:33] wave 12 done: wall=15.2s cpu=7.6s rss=1622.8MB
[02:48:42] wave 13 done: wall=8.2s cpu=5.8s rss=1683.7MB
[02:48:56] wave 14 done: wall=14.6s cpu=7.3s rss=1684.3MB
[02:49:04] wave 15 done: wall=7.7s cpu=5.9s rss=1767.9MB
[02:49:12] wave 16 done: wall=8.1s cpu=5.8s rss=1779.7MB
[02:49:20] wave 17 done: wall=7.6s cpu=4.8s rss=1780.1MB
[02:49:27] wave 18 done: wall=7.7s cpu=6.1s rss=1895.3MB
[02:49:36] wave 19 done: wall=8.1s cpu=6.2s rss=1894.9MB
[02:49:44] wave 20 done: wall=8.1s cpu=5.3s rss=1896.0MB
[02:49:56] wave 21 done: wall=12.2s cpu=7.5s rss=1970.7MB
[02:50:04] wave 22 done: wall=8.6s cpu=5.1s rss=1987.2MB
[02:50:12] wave 23 done: wall=7.7s cpu=6.0s rss=2021.1MB
[02:50:23] wave 24 done: wall=11.1s cpu=7.1s rss=2022.0MB
[02:50:31] wave 25 done: wall=8.1s cpu=5.5s rss=2031.7MB
[02:50:41] wave 26 done: wall=9.2s cpu=7.0s rss=2205.6MB
[02:50:48] wave 27 done: wall=7.6s cpu=5.0s rss=2200.2MB
[02:51:00] wave 28 done: wall=11.7s cpu=7.6s rss=2225.6MB
[02:51:14] wave 29 done: wall=14.1s cpu=6.7s rss=2228.5MB
[02:51:24] wave 30 done: wall=10.1s cpu=7.2s rss=2314.9MB
[02:51:33] wave 31 done: wall=9.1s cpu=5.3s rss=2273.9MB
[02:51:43] wave 32 done: wall=10.2s cpu=6.8s rss=2372.9MB
[02:51:51] wave 33 done: wall=7.1s cpu=4.4s rss=2370.0MB
[02:51:58] wave 34 done: wall=7.7s cpu=5.8s rss=2407.1MB
[02:52:08] wave 35 done: wall=9.6s cpu=5.9s rss=2449.2MB
[02:52:15] wave 36 done: wall=7.1s cpu=4.2s rss=2449.3MB
[02:52:24] wave 37 done: wall=8.7s cpu=8.0s rss=2552.5MB
[02:52:37] wave 38 done: wall=13.1s cpu=6.9s rss=2552.0MB
