tag run     port    pid     t0_epoch        primary_s       secondary_s     paper_done_s    rss_primary_kb  hwm_kb  outcome anomalies
A-base	1	26201	869	1788808251	3.11	31.29	27.412s	1176188	1176252	OK	anom=4;0 symbols unresolved
A-base	2	26202	1992	1788808285	3.03	30.79	27.304s	1164184	1164292	OK	anom=4;0 symbols unresolved
A-base	3	26203	3010	1788808319	3.10	31.03	27.505s	1169464	1169528	OK	anom=4;0 symbols unresolved
tag run     port    pid     t0_epoch        primary_s       secondary_s     paper_done_s    rss_primary_kb  hwm_kb  outcome anomalies
B-master	1	26301	4080	1788808358	3.07	31.21	27.439s	1165148	1165256	OK	anom=4;0 symbols unresolved
B-master	2	26302	5106	1788808392	3.02	31.85	28.082s	1160956	1160992	OK	anom=4;0 symbols unresolved
B-master	3	26303	6120	1788808427	3.02	30.03	26.579s	1117948	1118028	OK	anom=4;0 symbols unresolved
