impl	scenario	metric	value
new	churn	ns_per_build_and_sample	1799
new	churn	handles_built	20000
new	churn	ns_per_drop_wave	262717
new	churn	quiet_reclaim_ms	21
new	churn	tickled_reclaim_ms	0
new	churn	freed_total	20000
new	churn	native_unfreed	0
new	churn	map_entries_after_settle	0
new	churn	gc_collections	3
new	churn	gc_time_ms	57
new	churn	SINK	-4606918185924497542
