impl	scenario	metric	value
new	hotpath	ns_per_noise_t1	49.3
new	hotpath	ns_per_noise_t2	79.6
new	hotpath	ns_per_noise_t4	70.4
new	hotpath	ns_per_noise_t8	79.3
new	hotpath	map_entries	256
new	hotpath	SINK	4681631389343908192
