impl	scenario	metric	value
old	churn	ns_per_build_and_sample	1409
old	churn	handles_built	20000
old	churn	ns_per_drop_wave	261576
old	churn	quiet_reclaim_ms	TIMEOUT>12000
old	churn	tickled_reclaim_ms	542
old	churn	freed_total	20000
old	churn	native_unfreed	0
old	churn	map_entries_after_settle	0
old	churn	gc_collections	4
old	churn	gc_time_ms	40
old	churn	SINK	-4606918185924497542
