impl	scenario	metric	value
new	gcchurn	ns_per_build_and_sample	3239
new	gcchurn	handles_built	20000
new	gcchurn	ns_per_drop_wave	254970
new	gcchurn	quiet_reclaim_ms	20
new	gcchurn	tickled_reclaim_ms	0
new	gcchurn	freed_total	20000
new	gcchurn	native_unfreed	0
new	gcchurn	map_entries_after_settle	0
new	gcchurn	gc_collections	20
new	gcchurn	gc_time_ms	50
new	gcchurn	SINK	4699113942200065876
