impl	scenario	metric	value
old	gcchurn	ns_per_build_and_sample	3334
old	gcchurn	handles_built	20000
old	gcchurn	ns_per_drop_wave	289018
old	gcchurn	quiet_reclaim_ms	TIMEOUT>12000
old	gcchurn	tickled_reclaim_ms	554
old	gcchurn	freed_total	20000
old	gcchurn	native_unfreed	0
old	gcchurn	map_entries_after_settle	0
old	gcchurn	gc_collections	512
old	gcchurn	gc_time_ms	523
old	gcchurn	SINK	4720591072632200443
