idx,arm,t_burst_s,cpu_burst_s,done_s,arm_validation
1,A,63.33,58.77,25.687,ok@0
2,B,58.18,54.87,25.894,ok@63
3,B,69.89,57.30,25.108,ok@64
4,A,72.59,63.46,25.979,ok@0
5,A,78.77,64.05,26.149,ok@0
6,B,63.64,52.07,25.663,ok@16
7,B,65.14,56.97,26.153,ok@64
8,A,74.76,62.00,25.751,ok@0
9,A,69.59,60.98,26.336,ok@0
10,B,61.59,55.10,26.089,ok@64
