9311:
 num     #instances         #bytes  class name (module)
  84:         14600         467200  com.mojang.serialization.MapCodec$2
  85:         14583         466656  com.mojang.datafixers.types.templates.Named$NamedType
  86:         13795         441440  jdk.internal.util.WeakReferenceKey (java.base@21.0.12.1)
  87:          9118         437664  [Lnet.minecraft.world.level.biome.Climate$Parameter;
  88:         18195         436680  net.minecraft.resources.ResourceLocation
  89:         26869         429904  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet
  90:         13297         425504  java.util.PriorityQueue (java.base@21.0.12.1)
  91:         10608         424320  java.lang.invoke.BoundMethodHandle$Species_L (java.base@21.0.12.1)
  92:         10525         421000  java.util.EnumMap (java.base@21.0.12.1)
  93:         17536         420864  com.mojang.serialization.RecordBuilder$AbstractStringBuilder$$Lambda/0x00007f5475306498
  94:         16848         404352  org.bukkit.craftbukkit.block.impl.CraftWall
  95:           747         388264  [F (java.base@21.0.12.1)
  96:          4388         386144  java.lang.reflect.Method (java.base@21.0.12.1)
  97:          9615         384600  java.lang.invoke.DirectMethodHandle (java.base@21.0.12.1)
  98:         13473         380560  [Ljava.lang.Class; (java.base@21.0.12.1)
  99:         15497         371928  java.lang.invoke.ResolvedMethodName (java.base@21.0.12.1)
 100:          7604         364992  net.minecraft.world.level.biome.Climate$ParameterPoint
 101:         11268         360576  net.minecraft.world.level.ChunkPos
 102:           279         357120  [Lnet.minecraft.world.level.levelgen.Aquifer$FluidStatus;
 103:         14801         355224  net.minecraft.world.level.levelgen.DensityFunction$SinglePointContext
 104:         11069         354208  java.util.ImmutableCollections$ListItr (java.base@21.0.12.1)
 105:         14585         350040  net.minecraft.world.level.chunk.LinearPalette
 106:         14519         348456  com.mojang.datafixers.types.templates.Sum
 107:         14464         347136  com.google.common.collect.ImmutableMapEntry
 108:         10794         345408  com.google.common.collect.MapMakerInternalMap$WeakValueReferenceImpl
 109:          2232         339264  net.minecraft.world.level.levelgen.NoiseChunk$NoiseInterpolator
 110:         21010         336160  org.apache.commons.lang3.mutable.MutableBoolean
 111:          5984         335104  java.util.stream.ReferencePipeline$7 (java.base@21.0.12.1)
 112:         13850         332400  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntry
 113:         13625         327000  com.mojang.datafixers.types.templates.Product
 114:         20208         323328  [Lnet.minecraft.core.BlockPos;
 115:         13354         320496  com.mojang.datafixers.types.templates.Tag
 116:         13192         316608  com.mojang.datafixers.util.Pair
 117:         12998         311952  ca.spottedleaf.concurrentutil.executor.queue.AreaDependentQueue$Position
 118:          7764         310560  net.minecraft.world.level.redstone.CollectingNeighborUpdater$ShapeUpdate
 119:          2482         303232  [Lca.spottedleaf.moonrise.patches.starlight.light.SWMRNibbleArray;
 120:         12613         302712  org.bukkit.craftbukkit.block.CraftBlock
 121:          7549         301960  org.yaml.snakeyaml.error.Mark
 122:          9196         294272  net.minecraft.core.Holder$Reference
 123:         12194         292656  com.mojang.serialization.RecordBuilder$AbstractBuilder$$Lambda/0x00007f54753039f8
 124:         12193         292632  net.minecraft.nbt.NbtOps$NbtRecordBuilder
 125:          7143         285720  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$KeyIterator
 126:            78         277440  [Lca.spottedleaf.concurrentutil.map.ConcurrentLong2ReferenceChainedHashTable$TableEntry;
 127:          4093         261952  it.unimi.dsi.fastutil.objects.Reference2ObjectOpenHashMap
 128:         10801         259224  net.minecraft.resources.ResourceKey$InternKey
 129:         10794         259056  net.minecraft.resources.ResourceKey
 130:          7575         242400  io.papermc.paper.util.ObfHelper$ClassMapping
 131:          3692         236288  org.yaml.snakeyaml.nodes.ScalarNode
 132:          7329         234528  net.minecraft.world.level.levelgen.DensityFunctions$Noise
 133:          9643         231432  net.minecraft.world.level.material.FlowingFluid$SpreadContext$$Lambda/0x00007f547568f080
 134:          5779         231160  net.minecraft.world.ticks.ScheduledTick
 135:          2012         225344  [Lit.unimi.dsi.fastutil.shorts.ShortList;
 136:          9328         223872  org.bukkit.NamespacedKey
 137:          4643         222864  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.12.1)
 138:          1156         221952  ca.spottedleaf.moonrise.patches.chunk_system.scheduling.NewChunkHolder
 139:          6913         221216  ca.spottedleaf.moonrise.patches.blockstate_propertyaccess.util.ZeroCollidingReferenceStateTable$MapView
 140:          9043         217032  net.minecraft.nbt.ListTag
 141:          8911         213864  ca.spottedleaf.concurrentutil.collection.MultiThreadedQueue$LinkedNode
 142:          8757         210168  com.mojang.datafixers.schemas.Schema$$Lambda/0x00007f547469d518
 143:          8640         207360  org.bukkit.craftbukkit.block.impl.CraftStair
 144:          6452         206464  java.util.EnumMap$EntryIterator (java.base@21.0.12.1)
 145:          8482         203568  net.minecraft.world.level.levelgen.DensityFunctions$Marker
 146:          1445         200992  [Lcom.google.common.collect.ImmutableMapEntry;
 147:          7913         189912  com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueEntry
 148:          5796         185472  org.bukkit.event.block.BlockPhysicsEvent
 149:          7598         182352  net.minecraft.world.level.biome.Climate$RTree$Leaf
 150:          4520         180800  net.minecraft.world.level.levelgen.DensityFunctions$Mapped
 151:          4471         178840  net.minecraft.world.phys.Vec3
 152:          4464         178560  [[D (java.base@21.0.12.1)
 153:          7193         172632  com.mojang.serialization.Dynamic
 154:          4250         170000  java.math.BigInteger (java.base@21.0.12.1)
 155:          1111         168872  net.minecraft.world.level.chunk.ProtoChunk
 156:          6905         165720  com.mojang.serialization.Decoder$5
 157:          6889         165336  com.mojang.serialization.codecs.KeyDispatchCodec$$Lambda/0x00007f54757fdba8
 158:          4123         164920  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.12.1)
 159:          5123         163936  java.lang.invoke.LambdaForm$Name (java.base@21.0.12.1)
 160:          1401         162320  [Lnet.minecraft.world.level.chunk.LevelChunkSection;
 161:          3949         157960  ca.spottedleaf.concurrentutil.lock.ReentrantAreaLock$Node
 162:          2078         157928  [Ljava.lang.ref.SoftReference; (java.base@21.0.12.1)
 163:          6530         156720  com.mojang.serialization.Encoder$2$$Lambda/0x00007f5474d95240
 164:          9765         156240  com.mojang.datafixers.types.templates.RecursivePoint
 165:          6426         154224  com.google.common.collect.ImmutableList$Builder
 166:          2053         147816  java.lang.reflect.Constructor (java.base@21.0.12.1)
 167:          9197         147152  it.unimi.dsi.fastutil.objects.ReferenceSets$UnmodifiableSet
 168:          5984         143616  java.util.stream.ReferencePipeline$7$1 (java.base@21.0.12.1)
 169:          5984         143616  net.minecraft.world.level.levelgen.placement.PlacedFeature$$Lambda/0x00007f54752d1140
 170:          1171         139384  [Lnet.minecraft.world.level.block.state.StateHolder;
 171:          8710         139360  com.mojang.serialization.Encoder$4
