# P500 expected summary — written by aggregate_p500.py --write-expected
# Regenerate after an intentional re-run: aggregate_p500.py <tsv> --write-expected <path>
# --check re-derives from the raw TSV and diffs against this file; any drift exits 1.
COUNTS	groups=49	rows_raw=185	kernels=129	variants=56	pairs=70	unpaired=1	multi=9	notes=70
PAIR	2	PaperNativeAquiferSurfaceSampling	oldBatchSummary	newBatchSummary	0.905934
PAIR	3	PaperNativeBlendedNoise	oldBatchSummary	cachedBatchSummary	0.980462
PAIR	4	PaperNativeCaveCarverSkip	oldLambdaSummary	directHelperSummary	0.987397
PAIR	4	PaperNativeCaveCarverSkip	oldLambdaSummary	reusedCheckerSummary	0.996947
PAIR	5	PaperNativeChunkDependencies	oldImmutableListSummary	arraySummary	0.971949
PAIR	6	PaperNativeClimateParameterDistance	oldDistanceSum	branchDistanceSum	1.007651
PAIR	6	PaperNativeClimateParameterDistance	oldDistanceSum	subtractFirstDistanceSum	1.004782
PAIR	7	PaperNativeCubicSplineCreate	oldIteratorSummary	indexSummary	1.001207
PAIR	8	PaperNativeDensityAp2Fill	oldFlatSummary	scratchFlatSummary	0.868871
PAIR	8	PaperNativeDensityAp2Fill	oldNestedSummary	scratchNestedSummary	0.887534
PAIR	9	PaperNativeDensityAp2MinMaxFill	oldSummary	newSummary	1.003339
PAIR	10	PaperNativeDensitySplineContext	oldWrapperSummary	newDirectSummary	1.003540
PAIR	11	PaperNativeDensityVisitorHook	oldUnwrappingSummary	hookedUnwrappingSummary	1.009221
PAIR	12	PaperNativeEntityBoundingBox	oldMakeThenSetSummary	directDimensionsSetSummary	1.029432
PAIR	13	PaperNativeEntityChunkTransient	oldMixedSummary	newMixedSummary	0.992850
PAIR	14	PaperNativeEntityLookupStatus	oldAccessibleSummary	directAccessibleSummary	0.998713
PAIR	14	PaperNativeEntityLookupStatus	oldStatusSummary	directStatusSummary	0.998719
PAIR	15	PaperNativeImprovedNoiseDerivative	oldDerivativeSummary	flatGradientDerivativeSummary	0.985413
PAIR	15	PaperNativeImprovedNoiseDerivative	oldDerivativeSummary	inlineDerivativeSummary	1.000495
PAIR	15	PaperNativeImprovedNoiseDerivative	oldDerivativeSummary	intTableDerivativeSummary	0.996185
PAIR	16	PaperNativeImprovedNoiseInline	oldPMethodSummary	arithmeticSummary	0.863784
PAIR	16	PaperNativeImprovedNoiseInline	oldPMethodSummary	flatGradientSummary	0.877623
PAIR	16	PaperNativeImprovedNoiseInline	oldPMethodSummary	inlineByteAccessSummary	1.001107
PAIR	16	PaperNativeImprovedNoiseInline	oldPMethodSummary	switchGradientSummary	0.819292
PAIR	17	PaperNativeJigsawCanAttach	oldBatchSummary	optimizedBatchSummary	0.999045
PAIR	17	PaperNativeJigsawCanAttach	oldBatchSummary	targetFirstBatchSummary	0.996976
PAIR	18	PaperNativeLegacyProvidedAliasRemoval	oldValuesRemoveIfSummary	newReverseAliasRemoveSummary	1.048358
PAIR	19	PaperNativeLevelChunkHeightmap	oldFourUpdateSummary	newCombinedUpdateSummary	5.700403
PAIR	20	PaperNativeMarkerCache	oldSummary	cachedSummary	4.540275
PAIR	21	PaperNativeNoiseChunkBlendCache	oldEmptyBlenderSummary	newEmptyBlenderSummary	0.003160
PAIR	22	PaperNativeNoiseChunkFlatCacheContext	oldFalseContextSummary	newFalseContextSummary	0.845807
PAIR	22	PaperNativeNoiseChunkFlatCacheContext	oldTrueContextSummary	newTrueContextSummary	0.805238
PAIR	23	PaperNativeNoiseInterpolatorSlice	oldJaggedSummary	flatSummary	0.300763
PAIR	24	PaperNativeObfHelperMaps	oldStreamDefaultSummary	directMapsSummary	0.997861
PAIR	24	PaperNativeObfHelperMaps	oldStreamDefaultSummary	presizedStringPoolSummary	1.001070
PAIR	25	PaperNativeOreFeatureLoop	oldLoopSummary	optimizedLoopSummary	0.995552
PAIR	26	PaperNativeOwnableRule	oldStreamSummary	newLoopSummary	0.893510
PAIR	27	PaperNativePalettedReencodeScratch	oldNewArraySummary	directPackedSummary	2.346482
PAIR	27	PaperNativePalettedReencodeScratch	oldNewArraySummary	scratchThreadLocalSummary	0.834469
PAIR	28	PaperNativePluginClassLoaderGroup	oldLookupSummary	skipRequesterSummary	1.007634
PAIR	29	PaperNativePluginDirectoryScan	oldWalkDepth1Summary	directoryStreamSummary	0.921052
PAIR	29	PaperNativePluginDirectoryScan	oldWalkDepth1Summary	newListSummary	0.939375
PAIR	30	PaperNativePluginLoadingAllocation	oldDefaultCapacitySetupSummary	newPresizedSetupSummary	0.969880
PAIR	30	PaperNativePluginLoadingAllocation	oldEagerMissingSetSummary	newLazyMissingSetSummary	0.995656
PAIR	30	PaperNativePluginLoadingAllocation	oldEagerValidateSummary	newLazyValidateSummary	0.993109
PAIR	31	PaperNativePluginMetaDependency	oldStreamSummary	cachedSummary	0.973554
PAIR	31	PaperNativePluginMetaDependency	oldStreamSummary	newLoopSummary	0.997521
PAIR	32	PaperNativePluginNameLog	oldTreesetSummary	newArrayListSortSummary	0.943723
PAIR	33	PaperNativePluginStartupRollup	oldSummary	newSummary	0.991675
PAIR	34	PaperNativeProtoChunkHeightmap	oldEnumSetForeachSummary	newCachedContainsSummary	1.775273
PAIR	35	PaperNativeRangeChoice	oldFillArraySummary	optimizedFillArraySummary	1.002457
PAIR	36	PaperNativeRemapperIndexCleanup	oldEagerCleanupSummary	newLazyCleanupSummary	1.003286
PAIR	37	PaperNativeRemapperSkipHashes	oldStreamSummary	newLoopSummary	0.956475
PAIR	39	PaperNativeSpigotLoadOrderDependency	oldLoadAfterBuildSummary	newLoadAfterBuildSummary	1.003421
PAIR	40	PaperNativeSpigotLoadOrderDependency	oldRemovedCountSummary	newRemovedCountSummary	0.995506
PAIR	41	PaperNativeSpringFeatureMutablePos	oldBatchSummary	mutableBatchSummary	1.001357
PAIR	42	PaperNativeStaticCacheGet	oldBatchSummary	newBatchSummary	0.997118
PAIR	43	PaperNativeSurfaceRulesTestRuleState	oldStateRuleSummary	newStateRuleSummary	1.046249
PAIR	44	PaperNativeTopographicGraphSortCapacity	oldDefaultCapacitySummary	newPresizedSummary	1.002585
PAIR	45	PaperNativeWaypointDistanceGuard	oldAtOrBeyondRangeSummary	guardedAtOrBeyondRangeSummary	0.985015
PAIR	46	PaperNativeWaypointDistanceGuard	oldReallyFarSummary	guardedReallyFarSummary	1.011258
PAIR	47	PaperNativeWaypointHotPath	oldAtOrBeyondRangeValue	guardedAtOrBeyondRangeValue	1.018248
PAIR	47	PaperNativeWaypointHotPath	oldAzimuthValue	directAzimuthValue	0.994628
PAIR	47	PaperNativeWaypointHotPath	oldChunkVisibleValue	cachedChunkVisibleValue	0.896305
PAIR	47	PaperNativeWaypointHotPath	oldReallyFarValue	guardedReallyFarValue	1.070865
PAIR	47	PaperNativeWaypointHotPath	oldWaypointManagerValue	optimizedWaypointManagerValue	0.932686
PAIR	48	PaperNativeXoroshiroPositionalDirect	oldDoubleBatchSummary	directDoubleBatchSummary	1.000969
PAIR	48	PaperNativeXoroshiroPositionalDirect	oldFloatBatchSummary	directFloatBatchSummary	0.999743
UNPAIRED	38	PaperNativeServerEntityDeltaIdentity	oldDistanceSummary	no OK alt kernel in group
MULTI	4	MULTI-PAIR g4 PaperNativeCaveCarverSkip type=many-to-one old=oldLambdaSummary alts=2 directHelperSummary,reusedCheckerSummary
MULTI	6	MULTI-PAIR g6 PaperNativeClimateParameterDistance type=many-to-one old=oldDistanceSum alts=2 branchDistanceSum,subtractFirstDistanceSum
MULTI	15	MULTI-PAIR g15 PaperNativeImprovedNoiseDerivative type=many-to-one old=oldDerivativeSummary alts=3 flatGradientDerivativeSummary,inlineDerivativeSummary,intTableDerivativeSummary
MULTI	16	MULTI-PAIR g16 PaperNativeImprovedNoiseInline type=many-to-one old=oldPMethodSummary alts=4 arithmeticSummary,flatGradientSummary,inlineByteAccessSummary,switchGradientSummary
MULTI	17	MULTI-PAIR g17 PaperNativeJigsawCanAttach type=many-to-one old=oldBatchSummary alts=2 optimizedBatchSummary,targetFirstBatchSummary
MULTI	24	MULTI-PAIR g24 PaperNativeObfHelperMaps type=many-to-one old=oldStreamDefaultSummary alts=2 directMapsSummary,presizedStringPoolSummary
MULTI	27	MULTI-PAIR g27 PaperNativePalettedReencodeScratch type=many-to-one old=oldNewArraySummary alts=2 directPackedSummary,scratchThreadLocalSummary
MULTI	29	MULTI-PAIR g29 PaperNativePluginDirectoryScan type=many-to-one old=oldWalkDepth1Summary alts=2 directoryStreamSummary,newListSummary
MULTI	31	MULTI-PAIR g31 PaperNativePluginMetaDependency type=many-to-one old=oldStreamSummary alts=2 cachedSummary,newLoopSummary
NOTE	SINK	-1056715443270885484
NOTE	SINK	-14994829270
NOTE	SINK	-1649876172
NOTE	SINK	-1726557772
NOTE	SINK	-1730596700
NOTE	SINK	-1731832732
NOTE	SINK	-2161672780
NOTE	SINK	-2212057452
NOTE	SINK	-2223321612
NOTE	SINK	-2232846300
NOTE	SINK	-2346049868
NOTE	SINK	-2394769530
NOTE	SINK	-2516664506
NOTE	SINK	-2558139691033825384
NOTE	SINK	-3215224551
NOTE	SINK	-3297421082
NOTE	SINK	-3615720767873476456
NOTE	SINK	-3710859079384278728
NOTE	SINK	-4354043783002718208
NOTE	SINK	-5216699220
NOTE	SINK	-590660236
NOTE	SINK	-6985563410343078
NOTE	SINK	-7471739412
NOTE	SINK	-7825996243745823048
NOTE	SINK	12190936
NOTE	SINK	14206448970
NOTE	SINK	149200920
NOTE	SINK	1568325660
NOTE	SINK	1599540
NOTE	SINK	1601218104441070936
NOTE	SINK	1811886760
NOTE	SINK	184286630
NOTE	SINK	2134873351279686504
NOTE	SINK	2150971580
NOTE	SINK	22874652
NOTE	SINK	2327557762768939352
NOTE	SINK	2404283047992
NOTE	SINK	24225771102
NOTE	SINK	2475422259768
NOTE	SINK	2652699512
NOTE	SINK	28230708
NOTE	SINK	282428540
NOTE	SINK	283480
NOTE	SINK	2843573364
NOTE	SINK	289560
NOTE	SINK	2950533131012826468
NOTE	SINK	31091305934
NOTE	SINK	331970010
NOTE	SINK	3430521752
NOTE	SINK	37978038
NOTE	SINK	3837053332789675796
NOTE	SINK	386381556
NOTE	SINK	4291565789184329396
NOTE	SINK	439329400
NOTE	SINK	440484938
NOTE	SINK	461326441472
NOTE	SINK	4629405858
NOTE	SINK	4710447124056793895
NOTE	SINK	4771842810
NOTE	SINK	495891396
NOTE	SINK	54559814
NOTE	SINK	751435375
NOTE	SINK	786022207876094896
NOTE	SINK	8315160
NOTE	SINK	8927748190062572630
NOTE	SINK	8931545433098693052
NOTE	SINK	8980896519750123704
NOTE	SINK	898765759770
NOTE	SINK	9063084238580881991
NOTE	SINK	910943375
