# P500 expected summary — written by aggregate_p500.py --write-expected
# Regenerate after an intentional re-run: aggregate_p500.py <tsv> --write-expected <path>
# --check re-derives from the raw TSV and diffs against this file; any drift exits 1.
COUNTS	groups=49	rows_raw=185	kernels=129	variants=56	pairs=70	unpaired=1	multi=9	notes=70
KERNEL	16	PaperNativeImprovedNoiseInline	([BI[J)I	oldPMethodSummary	old	9307.3000	9307.3000	9307.3000	OK s0
KERNEL	16	PaperNativeImprovedNoiseInline	([BI[J)I	switchGradientSummary	alt	7625.4000	7625.4000	7625.4000	OK s0
KERNEL	17	PaperNativeJigsawCanAttach	(I[I[I[I[I[Z[I[I[J)I	oldBatchSummary	old	628.3000	628.3000	628.3000	OK s0
KERNEL	17	PaperNativeJigsawCanAttach	(I[I[I[I[I[Z[I[I[J)I	optimizedBatchSummary	alt	627.7000	627.7000	627.7000	OK s0
KERNEL	17	PaperNativeJigsawCanAttach	(I[I[I[I[I[Z[I[I[J)I	targetFirstBatchSummary	alt	626.4000	626.4000	626.4000	OK s0
KERNEL	18	PaperNativeLegacyProvidedAliasRemoval	(I[Ljava/lang/Object;[Ljava/lang/Object;I[J)I	newReverseAliasRemoveSummary	alt	114.9000	114.9000	114.9000	OK s0
KERNEL	18	PaperNativeLegacyProvidedAliasRemoval	(I[Ljava/lang/Object;[Ljava/lang/Object;I[J)I	oldValuesRemoveIfSummary	old	109.6000	109.6000	109.6000	OK s0
KERNEL	19	PaperNativeLevelChunkHeightmap	(I[J)I	newCombinedUpdateSummary	alt	15780286.5000	15780286.5000	15780286.5000	OK s0
KERNEL	19	PaperNativeLevelChunkHeightmap	(I[J)I	oldFourUpdateSummary	old	2768275.5000	2768275.5000	2768275.5000	OK s0
KERNEL	20	PaperNativeMarkerCache	(III[J)I	cachedSummary	alt	684954.1000	684954.1000	684954.1000	OK s0
KERNEL	20	PaperNativeMarkerCache	(III[J)I	oldSummary	old	150861.8000	150861.8000	150861.8000	OK s0
KERNEL	21	PaperNativeNoiseChunkBlendCache	(II[J)I	newEmptyBlenderSummary	alt	301.1000	301.1000	301.1000	OK s0
KERNEL	21	PaperNativeNoiseChunkBlendCache	(II[J)I	oldEmptyBlenderSummary	old	95283.4000	95283.4000	95283.4000	OK s0
KERNEL	22	PaperNativeNoiseChunkFlatCacheContext	(II[J)I	newFalseContextSummary	alt	18653.6000	18653.6000	18653.6000	OK s0
KERNEL	22	PaperNativeNoiseChunkFlatCacheContext	(II[J)I	newTrueContextSummary	alt	18951.2000	18951.2000	18951.2000	OK s0
KERNEL	22	PaperNativeNoiseChunkFlatCacheContext	(II[J)I	oldFalseContextSummary	old	22054.2000	22054.2000	22054.2000	OK s0
KERNEL	22	PaperNativeNoiseChunkFlatCacheContext	(II[J)I	oldTrueContextSummary	old	23534.9000	23534.9000	23534.9000	OK s0
KERNEL	23	PaperNativeNoiseInterpolatorSlice	(IIII[J)I	flatSummary	alt	1901351.5000	1901351.5000	1901351.5000	OK s0
