Java_PaperNativeBeardifierBury_optimizedBatchSummary	PaperNativeBeardifierBury	optimizedBatchSummary	-	
Java_PaperNativeBiomeGetBiome_currentBatchSummary	PaperNativeBiomeGetBiome	currentBatchSummary	-	
Java_PaperNativeBiomeGetBiome_optimizedBatchSummary	PaperNativeBiomeGetBiome	optimizedBatchSummary	-	
Java_PaperNativeBlendedNoise_cachedBatchSummary	PaperNativeBlendedNoise	cachedBatchSummary	P500	bench/p500/results/P500_FLOORSANITY_POSTWIPE_REPORT_2026-09-09.md | bench/p500/results/P500_FULLMATRIX_POSTWIPE_RAW_2026-09-09.tsv | bench/p500/results/P500_REPORT.md | bench/p500/results/P500_REPORT_smoke_S7-7.md | bench/p500/results/P500_REPORT_v2.md | bench/p500/results/baseline.tsv | bench/p500/results/p500_expected_summary.tsv | bench/p500/results/p500_raw.tsv | bench/p500/results/p500_raw_fullrun_2026-09-07.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-14.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-15.tsv | docs/BATCH_ADOPTION_MATRIX.md | docs/BLEND_CACHE_DESIGN.md | docs/HOTSPOT_CANDIDATES.md
Java_PaperNativeBlendedNoise_oldBatchSummary	PaperNativeBlendedNoise	oldBatchSummary	P500	bench/p500/results/P500_FLOORSANITY_POSTWIPE_REPORT_2026-09-09.md | bench/p500/results/P500_FULLMATRIX_POSTWIPE_RAW_2026-09-09.tsv | bench/p500/results/P500_REPORT.md | bench/p500/results/P500_REPORT_smoke_S7-7.md | bench/p500/results/P500_REPORT_v2.md | bench/p500/results/baseline.tsv | bench/p500/results/p500_expected_summary.tsv | bench/p500/results/p500_raw.tsv | bench/p500/results/p500_raw_fullrun_2026-09-07.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-14.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-15.tsv | docs/BATCH_ADOPTION_MATRIX.md | docs/BLEND_CACHE_DESIGN.md | docs/HOTSPOT_CANDIDATES.md
Java_PaperNativeCarverIteration_foreachSummary	PaperNativeCarverIteration	foreachSummary	-	
Java_PaperNativeCarverIteration_indexedSummary	PaperNativeCarverIteration	indexedSummary	-	
Java_PaperNativeCaveCarverSkip_directHelperSummary	PaperNativeCaveCarverSkip	directHelperSummary	P500	bench/p500/results/P500_FLOORSANITY_POSTWIPE_REPORT_2026-09-09.md | bench/p500/results/P500_FULLMATRIX_POSTWIPE_RAW_2026-09-09.tsv | bench/p500/results/P500_REPORT.md | bench/p500/results/P500_REPORT_smoke_S7-7.md | bench/p500/results/P500_REPORT_v2.md | bench/p500/results/baseline.tsv | bench/p500/results/p500_expected_summary.tsv | bench/p500/results/p500_raw.tsv | bench/p500/results/p500_raw_fullrun_2026-09-07.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-14.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-15.tsv | docs/BATCH_ADOPTION_MATRIX.md
Java_PaperNativeCaveCarverSkip_oldLambdaSummary	PaperNativeCaveCarverSkip	oldLambdaSummary	P500	bench/p500/results/P500_FLOORSANITY_POSTWIPE_REPORT_2026-09-09.md | bench/p500/results/P500_FULLMATRIX_POSTWIPE_RAW_2026-09-09.tsv | bench/p500/results/P500_REPORT.md | bench/p500/results/P500_REPORT_smoke_S7-7.md | bench/p500/results/P500_REPORT_v2.md | bench/p500/results/baseline.tsv | bench/p500/results/p500_expected_summary.tsv | bench/p500/results/p500_raw.tsv | bench/p500/results/p500_raw_fullrun_2026-09-07.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-14.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-15.tsv | docs/BATCH_ADOPTION_MATRIX.md
Java_PaperNativeCaveCarverSkip_reusedCheckerSummary	PaperNativeCaveCarverSkip	reusedCheckerSummary	P500	bench/p500/results/P500_FLOORSANITY_POSTWIPE_REPORT_2026-09-09.md | bench/p500/results/P500_FULLMATRIX_POSTWIPE_RAW_2026-09-09.tsv | bench/p500/results/P500_REPORT.md | bench/p500/results/P500_REPORT_smoke_S7-7.md | bench/p500/results/P500_REPORT_v2.md | bench/p500/results/baseline.tsv | bench/p500/results/p500_expected_summary.tsv | bench/p500/results/p500_raw.tsv | bench/p500/results/p500_raw_fullrun_2026-09-07.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-14.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-15.tsv | docs/BATCH_ADOPTION_MATRIX.md
