# P500 baseline snapshot — written by aggregate_p500.py --write-baseline
# schema: PAIR\tclass\tsig\told_kernel\talt_kernel\tratio(alt/old)\tstability
PAIR	PaperNativePalettedReencodeScratch	(I[J)I	oldNewArraySummary	scratchThreadLocalSummary	0.833210	0.0%
PAIR	PaperNativePluginClassLoaderGroup	(I[Ljava/lang/Object;[IILjava/lang/String;[J)I	oldLookupSummary	skipRequesterSummary	1.044308	0.0%
PAIR	PaperNativePluginDirectoryScan	(ILjava/lang/String;[J)I	oldWalkDepth1Summary	directoryStreamSummary	0.920444	0.0%
PAIR	PaperNativePluginDirectoryScan	(ILjava/lang/String;[J)I	oldWalkDepth1Summary	newListSummary	0.918085	0.0%
PAIR	PaperNativePluginLoadingAllocation	(I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;I[J)I	oldDefaultCapacitySetupSummary	newPresizedSetupSummary	0.923377	0.0%
PAIR	PaperNativePluginLoadingAllocation	(I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;I[J)I	oldEagerMissingSetSummary	newLazyMissingSetSummary	0.652771	0.0%
PAIR	PaperNativePluginLoadingAllocation	(I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;I[J)I	oldEagerValidateSummary	newLazyValidateSummary	0.645250	0.0%
PAIR	PaperNativePluginMetaDependency	(I[Ljava/lang/Object;[Z[Z[I[J)I	oldStreamSummary	cachedSummary	1.023425	0.0%
PAIR	PaperNativePluginMetaDependency	(I[Ljava/lang/Object;[Z[Z[I[J)I	oldStreamSummary	newLoopSummary	1.002082	0.0%
PAIR	PaperNativePluginNameLog	(I[Ljava/lang/Object;[Ljava/lang/Object;[J)I	oldTreesetSummary	newArrayListSortSummary	0.956706	0.0%
PAIR	PaperNativePluginStartupRollup	(I[Ljava/lang/Object;Ljava/lang/String;[Ljava/lang/Object;[Ljava/lang/Object;[J)I	oldSummary	newSummary	0.982155	0.0%
PAIR	PaperNativeProtoChunkHeightmap	(I)J	oldEnumSetForeachSummary	newCachedContainsSummary	1.751959	0.0%
PAIR	PaperNativeRangeChoice	([D[I[I[II[J)I	oldFillArraySummary	optimizedFillArraySummary	1.024129	0.0%
PAIR	PaperNativeRemapperIndexCleanup	(I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[J)I	oldEagerCleanupSummary	newLazyCleanupSummary	1.046772	0.0%
