ROW	PARITY OK g40 pair n=1 trial=4                 ret=1 dsthash=3ea1266c
ROW	PARITY OK g40 old-disp-vs-direct trial=4       ret=1 dsthash=3ea1266c
ROW	PARITY OK g40 pair n=3 trial=5                 ret=1 dsthash=342913af
ROW	PARITY OK g40 old-disp-vs-direct trial=5       ret=1 dsthash=342913af
ROW	PARITY OK g40 pair n=5 trial=6                 ret=1 dsthash=aa63c68c
ROW	PARITY OK g40 old-disp-vs-direct trial=6       ret=1 dsthash=aa63c68c
ROW	PARITY OK g40 pair n=7 trial=7                 ret=1 dsthash=637d7286
ROW	PARITY OK g40 old-disp-vs-direct trial=7       ret=1 dsthash=637d7286
ROW	PARITY OK g40 pair n=1 trial=8                 ret=1 dsthash=2a12096a
ROW	PARITY OK g40 old-disp-vs-direct trial=8       ret=1 dsthash=2a12096a
ROW	PARITY OK g40 pair n=3 trial=9                 ret=1 dsthash=c89219f
ROW	PARITY OK g40 old-disp-vs-direct trial=9       ret=1 dsthash=c89219f
ROW	PARITY OK g40 pair n=5 trial=10                ret=1 dsthash=35dbdfcd
ROW	PARITY OK g40 old-disp-vs-direct trial=10      ret=1 dsthash=35dbdfcd
ROW	PARITY OK g40 pair n=7 trial=11                ret=1 dsthash=8c26f92d
ROW	PARITY OK g40 old-disp-vs-direct trial=11      ret=1 dsthash=8c26f92d
ROW	PARITY OK g40 refusal flag=0 (dst untouched both) ret=1 dsthash=31109800
