idx,arm,t_burst_s,cpu_burst_s,done_s,arm_validation
1,A,65.78,59.65,26.303,ok@0
2,B,61.47,56.05,26.508,ok@16
3,B,69.66,60.14,24.936,ok@16
4,A,68.93,59.21,25.858,ok@0
5,A,73.40,59.60,26.452,ok@0
6,B,67.59,59.88,25.428,ok@64
7,B,67.79,57.02,25.658,ok@16
8,A,70.27,63.92,24.895,ok@0
9,A,69.17,61.64,24.209,ok@0
10,B,64.97,58.95,25.892,ok@8
