22440:
 num     #instances         #bytes  class name (module)
  90:          5070         162240  java.lang.invoke.LambdaForm$Name (java.base@21.0.2)
  91:          2074         157624  [Ljava.lang.ref.SoftReference; (java.base@21.0.2)
  92:          9765         156240  com.mojang.datafixers.types.templates.RecursivePoint
  93:          2064         148608  java.lang.reflect.Constructor (java.base@21.0.2)
  94:          9197         147152  it.unimi.dsi.fastutil.objects.ReferenceSets$UnmodifiableSet
  95:          1171         139384  [Lnet.minecraft.world.level.block.state.StateHolder;
  96:          1921         138312  java.lang.reflect.Field (java.base@21.0.2)
  97:          4303         137696  com.mojang.datafixers.types.templates.CompoundList$CompoundListType
  98:          1166         130592  net.minecraft.world.level.block.state.BlockBehaviour$Properties
  99:          2325         130200  net.minecraft.world.level.storage.loot.entries.LootItem
 100:          5379         129096  com.mojang.datafixers.types.templates.List$ListType
 101:          5367         128808  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry
 102:          5247         125928  net.minecraft.core.HolderSet$Direct
 103:          2228         124768  net.minecraft.world.entity.ai.attributes.AttributeInstance
 104:          5153         123672  com.mojang.serialization.codecs.RecordCodecBuilder
 105:          2104         117824  org.bukkit.Material
 106:          7312         116992  net.minecraft.world.item.crafting.display.SlotDisplay$ItemSlotDisplay
 107:          4144         116792  [Lnet.minecraft.util.parsing.packrat.Term;
 108:          2895         115800  java.util.TreeMap$Entry (java.base@21.0.2)
 109:          2828         113120  java.lang.ref.SoftReference (java.base@21.0.2)
 110:          4696         112704  java.util.Collections$UnmodifiableRandomAccessList (java.base@21.0.2)
 111:          2790         111600  com.mojang.datafixers.types.templates.RecursivePoint$RecursivePointType
 112:          6956         111296  ca.spottedleaf.dataconverter.types.nbt.NBTMapType
 113:          2727         109080  java.util.EnumMap (java.base@21.0.2)
 114:          1493          95552  it.unimi.dsi.fastutil.ints.Int2ObjectOpenHashMap
 115:          1493          95552  it.unimi.dsi.fastutil.objects.Reference2ObjectOpenHashMap
 116:          2902          92864  java.util.ImmutableCollections$Map1 (java.base@21.0.2)
 117:          2881          92192  com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueEntry$LinkedStrongKeyWeakValueEntry
 118:          3829          91896  com.mojang.serialization.Codec$$Lambda/0x00007ff1e81bf298
 119:          3829          91896  com.mojang.serialization.codecs.FieldDecoder
 120:          3829          91896  com.mojang.serialization.codecs.FieldEncoder
 121:          2809          89888  net.minecraft.network.chat.MutableComponent
 122:          3582          85968  net.minecraft.util.parsing.packrat.DelayedException$$Lambda/0x00007ff1e85caf18
 123:          3489          83736  com.mojang.datafixers.types.templates.Named
 124:          2090          83600  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.2)
 125:          3437          82488  net.minecraft.advancements.Criterion
 126:          2017          80680  net.minecraft.world.item.ItemStack
 127:          1990          79600  ca.spottedleaf.moonrise.patches.blockstate_propertyaccess.util.ZeroCollidingReferenceStateTable$Indexer
 128:          2421          77472  net.minecraft.network.chat.contents.TranslatableContents
 129:          4838          77408  net.minecraft.world.item.crafting.display.SlotDisplay$Composite
 130:          1070          77040  com.mojang.brigadier.tree.LiteralCommandNode
 131:          2093          76792  [Ljava.lang.String; (java.base@21.0.2)
 132:          1060          76320  com.mojang.brigadier.tree.ArgumentCommandNode
 133:          4650          74400  net.minecraft.world.level.storage.loot.providers.number.ConstantValue
 134:          1462          70176  com.google.common.collect.LinkedHashMultimap$ValueEntry
 135:          1195          67088  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.2)
 136:          2790          66960  com.mojang.datafixers.types.families.RecursiveTypeFamily$$Lambda/0x00007ff1e86ad288
 137:          4103          65648  com.mojang.datafixers.types.templates.List
 138:          2648          63552  com.mojang.serialization.MapDecoder$4
 139:          1975          63200  java.util.concurrent.atomic.LongAdder (java.base@21.0.2)
 140:          2632          63168  net.minecraft.util.parsing.packrat.Dictionary$Reference
 141:          1574          62960  net.minecraft.advancements.Advancement
 142:          2592          62208  org.bukkit.craftbukkit.block.impl.CraftRedStoneWire
 143:          1928          61696  me.lucko.spark.paper.common.sampler.node.StackTraceNode$AsyncDescription
 144:          1520          60792  [Lnet.minecraft.world.level.biome.Climate$RTree$Node;
 145:          2503          60072  com.mojang.serialization.MapEncoder$1
 146:          2477          59448  org.bukkit.configuration.SectionPathData
 147:          2449          58776  net.minecraft.world.item.crafting.Ingredient
 148:          2417          58008  net.minecraft.world.level.storage.loot.entries.LootPoolSingletonContainer$1
 149:          1448          57920  net.minecraft.world.level.storage.loot.LootPool
 150:          2393          57432  com.mojang.serialization.Decoder$5
 151:          2385          57240  net.minecraft.util.parsing.packrat.commands.StringReaderTerms$1
 152:          1190          57120  java.lang.invoke.LambdaForm (java.base@21.0.2)
 153:          2347          56328  net.minecraft.advancements.critereon.DataComponentMatchers
 154:          2300          55200  org.bukkit.craftbukkit.block.impl.CraftNoteBlock
 155:           857          54848  java.lang.Class$ReflectionData (java.base@21.0.2)
 156:          3426          54816  net.minecraft.util.parsing.packrat.commands.StringReaderTerms$TerminalCharacters$$Lambda/0x00007ff1e85cb528
 157:          2228          53472  net.minecraft.world.entity.ai.attributes.AttributeSupplier$Builder$$Lambda/0x00007ff1e8c4fc28
 158:          1324          52960  net.minecraft.world.level.storage.loot.LootTable
 159:          2176          52224  org.bukkit.craftbukkit.block.impl.CraftDoor
 160:          2176          52224  org.bukkit.craftbukkit.block.impl.CraftTrapDoor
 161:          3217          51472  net.minecraft.util.parsing.packrat.Term$Sequence
 162:          1062          50976  java.lang.invoke.DirectMethodHandle$Accessor (java.base@21.0.2)
 163:          3177          50832  java.lang.Integer (java.base@21.0.2)
 164:           626          50752  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.2)
 165:          2108          50592  com.mojang.serialization.MapCodec$4
 166:           884          49504  java.lang.invoke.DirectMethodHandle$StaticAccessor (java.base@21.0.2)
 167:             3          49200  [Lnet.minecraft.world.level.pathfinder.PathType;
 168:          2017          48408  net.minecraft.core.component.PatchedDataComponentMap
 169:          1992          47808  com.mojang.serialization.codecs.PairMapCodec
 170:          1990          47760  com.mojang.serialization.MapCodec$6
 171:          1990          47760  net.minecraft.world.level.block.state.StateDefinition$$Lambda/0x00007ff1e83fc590
 172:          1473          47136  net.minecraft.advancements.AdvancementRewards
 173:          1937          46488  net.minecraft.advancements.critereon.ItemPredicate
 174:          1450          46400  net.minecraft.world.item.crafting.display.RecipeDisplayEntry
 175:          1928          46272  me.lucko.spark.paper.common.sampler.node.StackTraceNode
 176:          1413          45216  sun.security.util.ObjectIdentifier (java.base@21.0.2)
 177:          1803          43272  net.minecraft.util.parsing.packrat.Dictionary$Entry
 178:           198          43152  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.2)
 179:          2691          43056  com.mojang.serialization.codecs.RecordCodecBuilder$$Lambda/0x00007ff1e81bf9f0
 180:          1771          42504  net.minecraft.sounds.SoundEvent
 181:          1771          42504  org.bukkit.craftbukkit.CraftSound
 182:          1290          41280  java.lang.invoke.MethodTypeForm (java.base@21.0.2)
 183:          2503          40048  com.mojang.serialization.MapCodec$$Lambda/0x00007ff1e81e76b8
 184:          1612          38688  net.minecraft.util.parsing.packrat.Term$Marker
 185:          1611          38664  net.minecraft.advancements.critereon.InventoryChangeTrigger$TriggerInstance
 186:          2385          38160  it.unimi.dsi.fastutil.chars.CharLists$Singleton
 187:          1574          37776  net.minecraft.advancements.AdvancementHolder
 188:          1574          37776  net.minecraft.advancements.AdvancementNode
 189:          2352          37632  com.google.common.collect.RegularImmutableList
 190:          1153          36896  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.2)
 191:          1536          36864  org.bukkit.craftbukkit.block.impl.CraftCeilingHangingSign
 192:          1536          36864  org.bukkit.craftbukkit.block.impl.CraftShelf
